year;district;employers_count
2010;AVEIRO;27614
2011;AVEIRO;27210
2012;AVEIRO;26921
2013;AVEIRO;26454
2014;AVEIRO;26258
2015;AVEIRO;26741
2016;AVEIRO;26802
2017;AVEIRO;27069
2018;AVEIRO;27379
2019;AVEIRO;27784
2020;AVEIRO;27587
2021;AVEIRO;27824
2022;AVEIRO;28580
2023;AVEIRO;28864
2024;AVEIRO;29352
2025;AVEIRO;29632
2010;BEJA;6136
2011;BEJA;5980
2012;BEJA;5841
2013;BEJA;5875
2014;BEJA;5845
2015;BEJA;5959
2016;BEJA;6098
2017;BEJA;6205
2018;BEJA;6270
2019;BEJA;6510
2020;BEJA;6597
2021;BEJA;6789
2022;BEJA;7083
2023;BEJA;7428
2024;BEJA;7538
2025;BEJA;7574
2010;BRAGA;36110
2011;BRAGA;35940
2012;BRAGA;35025
2013;BRAGA;34762
2014;BRAGA;34837
2015;BRAGA;35568
2016;BRAGA;35692
2017;BRAGA;36393
2018;BRAGA;37039
2019;BRAGA;37963
2020;BRAGA;37818
2021;BRAGA;38476
2022;BRAGA;39916
2023;BRAGA;40961
2024;BRAGA;41683
2025;BRAGA;42433
2010;BRAGANCA;5020
2011;BRAGANCA;5061
2012;BRAGANCA;4957
2013;BRAGANCA;4840
2014;BRAGANCA;4889
2015;BRAGANCA;4989
2016;BRAGANCA;4953
2017;BRAGANCA;4950
2018;BRAGANCA;4948
2019;BRAGANCA;4951
2020;BRAGANCA;4854
2021;BRAGANCA;4972
2022;BRAGANCA;5222
2023;BRAGANCA;5255
2024;BRAGANCA;5355
2025;BRAGANCA;5382
2010;CASTELO BRANCO;7040
2011;CASTELO BRANCO;6986
2012;CASTELO BRANCO;6836
2013;CASTELO BRANCO;6767
2014;CASTELO BRANCO;6664
2015;CASTELO BRANCO;6773
2016;CASTELO BRANCO;6763
2017;CASTELO BRANCO;6771
2018;CASTELO BRANCO;6742
2019;CASTELO BRANCO;6802
2020;CASTELO BRANCO;6763
2021;CASTELO BRANCO;6858
2022;CASTELO BRANCO;7103
2023;CASTELO BRANCO;7176
2024;CASTELO BRANCO;7294
2025;CASTELO BRANCO;7434
2010;COIMBRA;14775
2011;COIMBRA;14565
2012;COIMBRA;14255
2013;COIMBRA;13982
2014;COIMBRA;13908
2015;COIMBRA;14152
2016;COIMBRA;14155
2017;COIMBRA;14319
2018;COIMBRA;14425
2019;COIMBRA;14821
2020;COIMBRA;14830
2021;COIMBRA;14961
2022;COIMBRA;15392
2023;COIMBRA;15868
2024;COIMBRA;16089
2025;COIMBRA;16276
2010;EVORA;7285
2011;EVORA;7196
2012;EVORA;6909
2013;EVORA;6864
2014;EVORA;6908
2015;EVORA;7009
2016;EVORA;6973
2017;EVORA;7000
2018;EVORA;6995
2019;EVORA;7075
2020;EVORA;7029
2021;EVORA;7075
2022;EVORA;7243
2023;EVORA;7359
2024;EVORA;7468
2025;EVORA;7571
2010;FARO;24340
2011;FARO;23237
2012;FARO;22616
2013;FARO;22028
2014;FARO;22134
2015;FARO;22688
2016;FARO;23116
2017;FARO;23867
2018;FARO;25005
2019;FARO;26127
2020;FARO;25832
2021;FARO;26029
2022;FARO;27417
2023;FARO;28546
2024;FARO;29399
2025;FARO;29820
2010;GUARDA;6059
2011;GUARDA;6010
2012;GUARDA;5871
2013;GUARDA;5820
2014;GUARDA;5842
2015;GUARDA;5823
2016;GUARDA;5714
2017;GUARDA;5732
2018;GUARDA;5691
2019;GUARDA;5697
2020;GUARDA;5568
2021;GUARDA;5616
2022;GUARDA;5769
2023;GUARDA;5836
2024;GUARDA;5879
2025;GUARDA;5943
2010;LEIRIA;22277
2011;LEIRIA;21951
2012;LEIRIA;21117
2013;LEIRIA;20642
2014;LEIRIA;20443
2015;LEIRIA;20870
2016;LEIRIA;21028
2017;LEIRIA;21308
2018;LEIRIA;21541
2019;LEIRIA;22007
2020;LEIRIA;21871
2021;LEIRIA;22150
2022;LEIRIA;22863
2023;LEIRIA;23298
2024;LEIRIA;23668
2025;LEIRIA;24044
2010;LISBOA;103940
2011;LISBOA;103158
2012;LISBOA;99877
2013;LISBOA;96928
2014;LISBOA;96777
2015;LISBOA;99493
2016;LISBOA;101374
2017;LISBOA;104501
2018;LISBOA;109194
2019;LISBOA;114782
2020;LISBOA;115669
2021;LISBOA;116576
2022;LISBOA;122685
2023;LISBOA;128464
2024;LISBOA;132328
2025;LISBOA;134150
2010;OUTRO;509
2011;OUTRO;493
